pu_number,title,show_start_date,type,film_studio,production_country,director,producer,budget,box_office,refundable_support,nonrefundable_support,financing_source,ratings,genres,age_restriction
121025515,строго на запад,2015-12-23 12:00:00+00:00,художественный,"си-со филмз, ди эм си филм, филм фо, нью зиланд филм коммишн",великобритания - новая зеландия,джон маклин,"рэйчел гарднер, эйн каннинг, конор маккохан",0,1183688,0,0,нет данных,6.7,"вестерн,драма,триллер",«18+» - запрещено для детей
121001916,римские свидания,2016-02-01 12:00:00+00:00,художественный,эмби пикчерз,сша,элла лемхаген,"моника бакарди, андреа иерволино, сильвио мураглиа",0,9381926,0,0,нет данных,5.7,"драма,мелодрама,комедия",«16+» - для детей старше 16 лет
221003816,ученик чародея,2016-02-02 12:00:00+00:00,художественный,пиквьюинг продакшнз,юар,дэвид листер,"элизабет мэтьюз, питер х.мэтьюз",0,0,0,0,нет данных,6.8,"фэнтези,боевик,приключения",«6+» - для детей старше 6 лет
214001716,гофман и тайна часовщика,2016-02-02 12:00:00+00:00,анимационный,"фгуп ""тпо ""киностудия ""союзмультфильм""",россия,с.соколов,"н.маковский, а.добрунов",0,0,0,0,нет данных,0.0,нет данных,«12+» - для детей старше 12 лет
111000416,герой (2015),2016-01-22 12:00:00+00:00,художественный," ооо ""студия 25"", ооо ""медиа арт студио"", ооо ""продюсерский центр ""синема продакшн"" ",россия,ю.васильев,"э.айнулова, н.дорошкевич, м.журомская",222177790,81430626,110000000,30000000,"министерство культуры, фонд кино",7.1,"мюзикл,боевик,драма",«12+» - для детей старше 12 лет
121001816,в активном поиске (2016),2016-01-26 12:00:00+00:00,художественный,"уорнер бразерс, нью лайн синема, вригли пикчерз",сша,кристиан диттер,джон рикард,0,152013302,0,0,нет данных,6.5,"драма,мелодрама,комедия",«18+» - запрещено для детей
126000216,железная министерия,2016-01-15 12:00:00+00:00,прочие,синдер филмз,сша,дж.п. сниадецки,"джошуа невис, дж.п. сниадецки",0,65150,0,0,нет данных,0.0,нет данных,«16+» - для детей старше 16 лет
121001316,затерянный в кантоне,2016-01-15 12:00:00+00:00,художественный,мампаси,франция - дания - швеция - кнр,"хонгки ли, монс монссон","патрисия драти, монс монссон",0,68738,0,0,нет данных,0.0,нет данных,«16+» - для детей старше 16 лет
111020415,день выборов 2,2015-12-09 12:00:00+00:00,художественный,"ооо ""кедр про""",россия,а.баршак,"ооо киностудия ""стрела"" ",0,301074873,0,0,нет данных,6.5,комедия,«12+» - для детей старше 12 лет
111019915,"sos, дед мороз или всё сбудется!",2015-12-07 12:00:00+00:00,художественный,"ооо ""эхо""",россия,а.геворгян,м.спектр,0,95302304,0,0,нет данных,3.8,"комедия,семейный",«6+» - для детей старше 6 лет
121026515,омерзительная восьмерка (2015),2015-12-30 12:00:00+00:00,художественный,вайнштейн компани,сша,квентин тарантино,"ричард н.гладштейн, шэннон макинтош, стэйси шер",0,389144352,0,0,нет данных,7.9,"вестерн,криминал,триллер",«18+» - запрещено для детей
221016616,выживший (2015),2016-03-15 12:00:00+00:00,художественный,"нью ридженси пикчерз, анонимус контент, аппиан вэй, рэтпэк интертейнмент",сша,алехандро гонсалес иньярриту,"стив голин, алехандро гонсалес иньярриту, дэвид кантер",0,0,0,0,нет данных,7.8,"приключения,вестерн,боевик",«18+» - запрещено для детей
121026215,выживший (2015),2015-12-30 12:00:00+00:00,художественный,"нью ридженси пикчерз, анонимус контент, аппиан вэй, рэтпэк интертейнмент",сша,алехандро гонсалес иньярриту,"стив голин, алехандро гонсалес иньярриту, дэвид кантер",0,1006737153,0,0,нет данных,7.8,"приключения,вестерн,боевик",«18+» - запрещено для детей
